SMILES,Name,pIC50
CCCN1CCC(COc2nc3ccccc3c3c2CCCN3)CC1,CHEMBL35226,5.468521083
CCCN1CCC(n2cnc3ccccc32)CC1,CHEMBL2207492,3.236572006
CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,CHEMBL240773,6.633922748
CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CHEMBL225230,15.30059592
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,CHEMBL531,6.954677021
CCCNCc1cc2ccccc2oc1=O,CHEMBL3113639,4.522878745
CCCN[C@H]1CCc2nc(N)sc2C1,CHEMBL301265,5
CCCO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,CHEMBL212831,5
CCC[C@@H](C(=O)c1ccc(C)cc1)N1CCCC1,CHEMBL372312,5
CCCc1c(C)cc(O)c(OC)c1C(=O)NC[C@@H]1CCCN1CC,CHEMBL1276766,6.850011544
CCCc1c(Cl)cc(O)c(OC)c1C(=O)NC[C@@H]1CCCN1CC,CHEMBL1276764,6.959991364
CCCc1cc(O)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1,CHEMBL1276585,9.299988938
CCCc1cc(O)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1C,CHEMBL1276763,8.299988938
CCCc1cc(O)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1Cl,CHEMBL1276615,8.489991487
CCCc1ccc(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1,CHEMBL1276351,7.169989064
CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,CHEMBL1086756,5.427593132
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,CHEMBL157138,8.543633967
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccccc2)C1,CHEMBL584554,5.798602876
CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2NC1,CHEMBL21343,5
CCN(CC)C(=S)SSC(=S)N(CC)CC,CHEMBL964,4.637932414
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CHEMBL86,6.896196279
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,CHEMBL84158,5.909389292
CCN(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1ccc2ccccc2c1,CHEMBL1222364,5
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,CHEMBL243712,8.221607542
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(NC)cc1OC,CHEMBL4594422,8.068033885
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CHEMBL26,7.066715228
CCN1CCC[C@H]1CNC(=O)c1c(Br)c(Br)cc(O)c1OC,CHEMBL1276461,7.590066877
CCN1CCC[C@H]1CNC(=O)c1c(Br)c(C)cc(O)c1OC,CHEMBL1276616,8.260032303
CCN1CCC[C@H]1CNC(=O)c1c(Br)c(Cl)cc(O)c1OC,CHEMBL1276427,7.240030142
CCN1CCC[C@H]1CNC(=O)c1c(Br)c(OC)cc(O)c1OC,CHEMBL1276587,7.169989064
CCN1CCC[C@H]1CNC(=O)c1c(Br)ccc(O)c1OC,CHEMBL1276710,7.250031916
CCN1CCC[C@H]1CNC(=O)c1c(C)c(Br)cc(O)c1OC,CHEMBL1276741,7.960189446
CCN1CCC[C@H]1CNC(=O)c1c(C)c(C)cc(O)c1OC,CHEMBL1276528,8.110026362
CCN1CCC[C@H]1CNC(=O)c1c(C)c(Cl)cc(O)c1OC,CHEMBL1276711,7.960189446
